location,year,load_curve,status,Ppvinst_kw,C_kwh,PinverterBESS_kw,lcoe_gross_usd_per_mwh,lcoe_net_usd_per_mwh,error_msg
Barranquilla,2005,datacenter,Optimal,5000.0,11252.75,1921.95,76.3986,-55.9362,
Barranquilla,2005,industria1,Optimal,1259.4,767.66,243.89,67.0554,-56.9777,
Barranquilla,2005,industria2,Optimal,1976.21,2818.35,532.36,74.7809,-65.1808,
Barranquilla,2006,datacenter,Optimal,5000.0,10886.88,1905.55,75.1572,-54.2171,
Barranquilla,2006,industria1,Optimal,1258.94,761.23,270.9,67.1107,-56.0869,
Barranquilla,2006,industria2,Optimal,2024.17,2736.28,508.23,74.8726,-62.247,
Barranquilla,2007,datacenter,Optimal,5000.0,11377.49,1957.9,76.8616,-75.4261,
Barranquilla,2007,industria1,Optimal,1530.94,1435.91,351.8,89.0671,-81.3671,
Barranquilla,2007,industria2,Optimal,2273.23,3229.91,585.54,85.2148,-87.5547,
Barranquilla,2008,datacenter,Optimal,5000.0,11663.38,2042.5,77.9256,-89.267,
Barranquilla,2008,industria1,Optimal,1650.69,1783.36,493.5,100.3149,-99.8126,
Barranquilla,2008,industria2,Optimal,2496.87,3552.95,632.8,93.2287,-103.122,
Barranquilla,2009,datacenter,Optimal,5000.0,11679.42,1994.85,77.9167,-100.6967,
Barranquilla,2009,industria1,Optimal,2458.28,1783.03,552.99,129.874,-134.4728,
Barranquilla,2009,industria2,Optimal,3258.58,3601.08,750.9,109.9714,-129.6071,
Barranquilla,2010,datacenter,Optimal,5000.0,10768.88,1938.1,74.8064,-110.2937,
Barranquilla,2010,industria1,Optimal,2457.32,2106.79,659.97,136.1217,-149.2328,
Barranquilla,2010,industria2,Optimal,3495.27,4226.01,924.26,121.7253,-145.1566,
Barranquilla,2011,datacenter,Optimal,5000.0,11564.15,2022.5,77.5686,-86.9348,
Barranquilla,2011,industria1,Optimal,1586.69,1796.98,558.05,98.6733,-95.0709,
Barranquilla,2011,industria2,Optimal,2397.96,3527.88,685.11,91.1311,-100.3086,
Barranquilla,2012,datacenter,Optimal,5000.0,12553.06,2155.1,81.0396,-123.8194,
Barranquilla,2012,industria1,Optimal,2365.12,1948.55,526.31,129.1729,-153.7642,
Barranquilla,2012,industria2,Optimal,3302.68,4143.66,841.07,116.5926,-151.1206,
Barranquilla,2013,datacenter,Optimal,5000.0,12398.0,2099.15,80.4493,-151.3302,
Barranquilla,2013,industria1,Optimal,3072.48,2752.26,849.92,170.7041,-248.5279,
Barranquilla,2013,industria2,Optimal,3808.11,4947.24,1064.86,135.8833,-218.5566,
Barranquilla,2014,datacenter,Optimal,5000.0,11790.79,2004.05,78.3001,-163.8399,
Barranquilla,2014,industria1,Optimal,3521.05,3808.38,1057.73,206.4439,-308.1886,
Barranquilla,2014,industria2,Optimal,4161.8,5907.77,1207.37,153.2591,-253.4536,
Barranquilla,2015,datacenter,Optimal,5000.0,9365.33,1711.8,69.8301,-161.145,
Barranquilla,2015,industria1,Optimal,4869.12,9175.43,1813.79,352.4082,-393.3303,
Barranquilla,2015,industria2,Optimal,5000.0,9748.9,1802.25,210.8819,-294.1441,
Barranquilla,2016,datacenter,Optimal,5000.0,9330.47,1768.1,69.7876,-116.0808,
Barranquilla,2016,industria1,Optimal,3172.22,3145.36,887.44,181.3106,-239.0781,
Barranquilla,2016,industria2,Optimal,3974.32,5340.97,1120.27,143.4348,-197.1567,
Barranquilla,2017,datacenter,Optimal,5000.0,9937.85,1760.45,71.8028,-44.65,
Barranquilla,2017,industria1,Optimal,1411.69,403.97,116.64,65.4498,-53.878,
Barranquilla,2017,industria2,Optimal,2153.65,2413.95,419.87,74.0353,-54.5997,
Barranquilla,2018,datacenter,Optimal,5000.0,9840.11,1774.65,71.4955,-49.7066,
Barranquilla,2018,industria1,Optimal,1586.56,471.57,144.26,73.1123,-62.3525,
Barranquilla,2018,industria2,Optimal,2488.4,2564.97,429.07,82.5098,-61.645,
Barranquilla,2019,datacenter,Optimal,5000.0,8629.63,1605.1,67.2373,-78.3522,
Barranquilla,2019,industria1,Optimal,2643.98,1734.64,574.25,135.8922,-139.7528,
Barranquilla,2019,industria2,Optimal,3299.77,3117.25,715.13,105.9114,-117.5801,
Barranquilla,2020,datacenter,Optimal,5000.0,8331.08,1544.1,66.162,-67.533,
Barranquilla,2020,industria1,Optimal,2646.56,1517.46,509.17,131.8161,-123.9796,
Barranquilla,2020,industria2,Optimal,3236.17,2973.49,651.46,102.9251,-103.8173,
Barranquilla,2021,datacenter,Optimal,4185.44,4890.27,1000.0,48.2664,-33.6957,
Barranquilla,2021,industria1,Optimal,1607.34,284.14,93.89,70.3034,-48.8287,
Barranquilla,2021,industria2,Optimal,2334.01,914.06,188.88,62.0765,-45.4504,
Barranquilla,2022,datacenter,Optimal,4564.23,5607.95,1139.69,53.4977,-39.7416,
Barranquilla,2022,industria1,Optimal,2038.84,336.99,201.95,87.5222,-67.7424,
Barranquilla,2022,industria2,Optimal,2801.14,1513.49,389.43,78.467,-60.0958,
Barranquilla,2023,datacenter,Optimal,5000.0,7763.52,1527.45,64.2478,-128.1525,
Barranquilla,2023,industria1,Optimal,5000.0,9776.26,1863.26,367.7878,-355.4165,
